QID,P@5,P@20

QQ0,0.2,0.15
QQ1,0.4,0.1
QQ2,0.2,0.05
QQ3,0.2,0.1
QQ4,0.4,0.1
QQ5,0.6,0.15
QQ6,0.4,0.2
QQ7,0.4,0.15
QQ8,0.4,0.2
QQ9,0.6,0.5
QQ10,0.8,0.4
QQ11,0.4,0.15
QQ12,0.4,0.15
QQ13,0.4,0.15
QQ14,0.2,0.1
QQ15,0.4,0.2
QQ16,0.2,0.2
QQ17,0.4,0.1
QQ18,0.6,0.35
QQ19,0.6,0.15
QQ20,0.2,0.15
QQ21,0.4,0.1
QQ22,0.6,0.2
QQ23,0.4,0.1
QQ24,0.4,0.3
QQ25,0.2,0.1
QQ26,0.8,0.45
QQ27,1.0,0.25
QQ28,0.2,0.1
QQ29,0.2,0.1
QQ30,0.4,0.1
QQ31,0.4,0.1
QQ32,0.2,0.05
QQ35,0.8,0.25
QQ36,0.4,0.1
QQ37,0.2,0.1
QQ38,0.4,0.2
QQ39,0.2,0.25
QQ41,0.4,0.3
QQ42,0.2,0.1
QQ43,0.6,0.15
QQ44,0.6,0.3
QQ47,0.2,0.05
QQ48,0.2,0.1
QQ56,0.4,0.1
QQ57,0.2,0.25
QQ58,0.4,0.35
QQ59,0.6,0.35
QQ60,1.0,0.5
QQ61,0.4,0.15
QQ62,0.8,0.35
QQ63,0.4,0.1
