QueryID,DocID,Score
Q0,CACM-2714,-26.998986218878425
Q0,CACM-3075,-27.437557943521835
Q0,CACM-3156,-27.834505187024998
Q0,CACM-1927,-28.60780375951153
Q0,CACM-2175,-28.648049759986026
Q1,CACM-3075,-25.29373785198218
Q1,CACM-3156,-26.885743036306827
Q1,CACM-2723,-27.44894825276789
Q1,CACM-2570,-27.613857865023533
Q1,CACM-2714,-27.707819487468438
Q2,CACM-2721,-15.646210669502462
Q2,CACM-1928,-22.56893533325907
Q2,CACM-1366,-23.176967920819067
Q2,CACM-3070,-23.352335130449976
Q2,CACM-1870,-23.445889506673478
Q3,CACM-1186,-185.03876932308407
Q3,CACM-0569,-185.96171741909632
Q3,CACM-0514,-185.96171741909632
Q3,CACM-0139,-186.1434086607563
Q3,CACM-2986,-187.85008327349897
Q4,CACM-2940,-137.2440073222621
Q4,CACM-2732,-140.34233123184342
Q4,CACM-2931,-140.43665983791203
Q4,CACM-2958,-142.376255219379
Q4,CACM-2326,-142.60331199842474
