Query ID,Document ID,Score
Q0,CACM-2319,-110.99489161672557
Q0,CACM-1410,-113.42965348242454
Q0,CACM-1605,-115.38131896939318
Q0,CACM-2379,-116.61772834993593
Q0,CACM-1033,-116.74558344849339
Q0,CACM-1519,-116.93521187306682
Q0,CACM-1506,-116.9471248078914
Q0,CACM-1698,-117.31180320204118
Q0,CACM-1523,-117.90987868726856
Q0,CACM-2947,-118.0295471763414
Q0,CACM-1591,-118.21843800324358
Q0,CACM-1161,-118.36959277284015
Q0,CACM-2054,-118.65166198999057
Q0,CACM-2632,-118.68591059528794
Q0,CACM-1938,-119.03140240288559
Q0,CACM-1749,-119.22196442929872
Q0,CACM-1544,-119.49896934013357
Q0,CACM-0585,-119.51935258698838
Q0,CACM-2380,-119.5529089173986
Q0,CACM-2946,-119.59042345853187
Q0,CACM-1225,-119.71918006008804
Q0,CACM-2541,-119.80480058087835
Q0,CACM-3069,-119.88183354649358
Q0,CACM-1464,-119.96024293549368
Q0,CACM-1226,-119.9817262943276
Q0,CACM-0698,-120.14068831307081
Q0,CACM-2950,-120.14332244501826
Q0,CACM-0397,-120.21097624044143
Q0,CACM-2357,-120.39538431579948
Q0,CACM-1264,-120.54188489546331
Q0,CACM-0637,-120.55510373075484
Q0,CACM-1685,-120.56033608112288
Q0,CACM-1315,-120.6073854868701
Q0,CACM-1647,-120.64697986274875
Q0,CACM-2764,-120.73276491200656
Q0,CACM-3127,-120.800437887984
Q0,CACM-1827,-120.82038578458469
Q0,CACM-3025,-120.83510165955869
Q0,CACM-2317,-120.97645211332502
Q0,CACM-1844,-121.06297685591463
Q0,CACM-1805,-121.08210966966398
Q0,CACM-1408,-121.16847865113438
Q0,CACM-1462,-121.22240804740422
Q0,CACM-1657,-121.36375058718033
Q0,CACM-1750,-121.44105101326576
Q0,CACM-2917,-121.52742702504932
Q0,CACM-2629,-121.56269982572977
Q0,CACM-2371,-121.56617027958828
Q0,CACM-3048,-121.60428843646687
Q0,CACM-1680,-121.70895209039755
Q0,CACM-2535,-121.7706727398761
Q0,CACM-1885,-121.77384103492986
Q0,CACM-1046,-121.86776214406127
Q0,CACM-1572,-121.87247876348984
Q0,CACM-1179,-121.9063689656553
Q0,CACM-1168,-121.99130604415265
Q0,CACM-1304,-122.04063441058344
Q0,CACM-2358,-122.0823384217888
Q0,CACM-2621,-122.0903191800122
Q0,CACM-3065,-122.1186100658116
Q0,CACM-2365,-122.23381450080421
Q0,CACM-2378,-122.23423379626016
Q0,CACM-3068,-122.3837054772799
Q0,CACM-1173,-122.39218206472091
Q0,CACM-1753,-122.45989999586638
Q0,CACM-2424,-122.48302681876181
Q0,CACM-1626,-122.53353091369448
Q0,CACM-2796,-122.56753492577955
Q0,CACM-1542,-122.60021813412294
Q0,CACM-0699,-122.64156059371905
Q0,CACM-0971,-122.74935390998152
Q0,CACM-2624,-122.7725616448301
Q0,CACM-2398,-122.77457975258292
Q0,CACM-1247,-122.80964658091513
Q0,CACM-2948,-122.85607096004885
Q0,CACM-2740,-122.90608064310219
Q0,CACM-2003,-122.99959084354069
Q0,CACM-1828,-123.10713817832315
Q0,CACM-1341,-123.13236027584004
Q0,CACM-1854,-123.13283828368145
Q0,CACM-2390,-123.13635465268894
Q0,CACM-2080,-123.16712339682562
Q0,CACM-2288,-123.16992913772489
Q0,CACM-0414,-123.23956617691479
Q0,CACM-1923,-123.28374573800856
Q0,CACM-1236,-123.28743968726948
Q0,CACM-1526,-123.32095471162552
Q0,CACM-0103,-123.32482782399217
Q0,CACM-2201,-123.35509393393781
Q0,CACM-1697,-123.35648152478016
Q0,CACM-2537,-123.36128161689778
Q0,CACM-2560,-123.37186690250232
Q0,CACM-1195,-123.43155584853304
Q0,CACM-2681,-123.45099163569873
Q0,CACM-2951,-123.47218647242033
Q0,CACM-2542,-123.54016821848644
Q0,CACM-1163,-123.61523677256393
Q0,CACM-3011,-123.63079082745537
Q0,CACM-1735,-123.68586105044129
Q0,CACM-1113,-123.69826562121659
Q1,CACM-3078,-115.84020934420275
Q1,CACM-2434,-119.74553859134429
Q1,CACM-2863,-121.46571800962303
Q1,CACM-3129,-124.26103544362674
Q1,CACM-1264,-125.76209085194682
Q1,CACM-0497,-125.98800625392359
Q1,CACM-0616,-126.2911153398471
Q1,CACM-1046,-126.39100908641214
Q1,CACM-1977,-126.45317696442855
Q1,CACM-1010,-127.61869775115753
Q1,CACM-1519,-127.67372436688444
Q1,CACM-2177,-127.70387689734815
Q1,CACM-1272,-127.82512237445397
Q1,CACM-0282,-127.84660575514599
Q1,CACM-1012,-128.1490541096819
Q1,CACM-3202,-128.36491356338405
Q1,CACM-2939,-128.49021680204535
Q1,CACM-1931,-128.5771693843338
Q1,CACM-1652,-128.79567064855988
Q1,CACM-2572,-128.90544447478044
Q1,CACM-0531,-128.9273971434835
Q1,CACM-2786,-129.08901630391026
Q1,CACM-3144,-129.09731203357177
Q1,CACM-1553,-129.21702130904603
Q1,CACM-2002,-129.28061329933982
Q1,CACM-1379,-129.41258690112704
Q1,CACM-1334,-129.4301220913814
Q1,CACM-0727,-129.43681095519887
Q1,CACM-2194,-129.43997756407754
Q1,CACM-1867,-129.47013057188718
Q1,CACM-1364,-129.59426273387757
Q1,CACM-2852,-129.64388724344195
Q1,CACM-1154,-129.7959083924341
Q1,CACM-1062,-129.80949857632356
Q1,CACM-1397,-129.820034439599
Q1,CACM-1877,-130.1627241548694
Q1,CACM-1464,-130.2087645324249
Q1,CACM-1593,-130.31277977921422
Q1,CACM-0626,-130.3876741727168
Q1,CACM-1259,-130.39887759288288
Q1,CACM-1486,-130.40948940408987
Q1,CACM-3117,-130.44238742738526
Q1,CACM-1674,-130.4574091581026
Q1,CACM-1623,-130.51122364825017
Q1,CACM-1846,-130.5272601908713
Q1,CACM-2215,-130.56408798210924
Q1,CACM-0242,-130.5700513622394
Q1,CACM-1764,-130.61729387185886
Q1,CACM-0670,-130.6489048878331
Q1,CACM-2771,-130.68012895190705
Q1,CACM-1671,-130.7638795736407
Q1,CACM-2439,-130.84158994887898
Q1,CACM-2899,-130.85711924555514
Q1,CACM-3171,-130.86666609302577
Q1,CACM-1527,-130.87951763341962
Q1,CACM-2368,-130.96680733511303
Q1,CACM-1634,-130.97162640618572
Q1,CACM-2233,-130.9736943275361
Q1,CACM-2047,-131.0289826851429
Q1,CACM-1676,-131.0985938104516
Q1,CACM-3110,-131.11086098907458
Q1,CACM-0397,-131.13527495197232
Q1,CACM-2905,-131.1624741836251
Q1,CACM-2812,-131.16547300584293
Q1,CACM-1638,-131.19035920288238
