QID,P@5,P@20

QQ0,0.6,0.15
QQ1,0.2,0.05
QQ2,0.2,0.05
QQ3,0.2,0.05
QQ4,0.4,0.15
QQ5,0.4,0.15
QQ6,0.2,0.05
QQ7,0.4,0.15
QQ8,0.4,0.2
QQ9,0.8,0.65
QQ10,0.8,0.45
QQ11,0.6,0.15
QQ12,0.8,0.25
QQ13,0.4,0.3
QQ14,0.4,0.2
QQ15,0.4,0.2
QQ16,0.8,0.25
QQ17,0.2,0.05
QQ18,1.2,0.35
QQ19,0.6,0.15
QQ20,0.2,0.15
QQ21,0.2,0.1
QQ22,0.8,0.25
QQ23,0.4,0.1
QQ24,1.0,0.5
QQ25,0.4,0.3
QQ26,1.0,0.4
QQ27,0.6,0.2
QQ28,0.8,0.55
QQ29,0.2,0.1
QQ30,0.4,0.1
QQ31,0.4,0.1
QQ32,0.2,0.05
QQ35,0.8,0.4
QQ36,0.2,0.25
QQ37,0.2,0.05
QQ38,0.6,0.35
QQ39,0.4,0.15
QQ41,0.2,0.2
QQ42,0.6,0.35
QQ43,0.6,0.15
QQ44,1.0,0.35
QQ47,0.4,0.1
QQ48,0.2,0.05
QQ56,0.2,0.05
QQ57,0.2,0.05
QQ58,0.2,0.1
QQ59,0.2,0.1
QQ60,1.0,0.4
QQ61,0.2,0.1
QQ62,1.2,0.5
QQ63,0.4,0.1
