QID,P@5,P@20

QQ0,0.2,0.1
QQ1,0.2,0.05
QQ2,0.2,0.05
QQ3,0.2,0.05
QQ4,0.2,0.05
QQ5,0.2,0.05
QQ6,0.2,0.05
QQ7,0.6,0.2
QQ8,0.2,0.1
QQ9,0.6,0.2
QQ10,0.2,0.05
QQ11,0.2,0.05
QQ12,0.4,0.1
QQ13,0.2,0.2
QQ14,0.4,0.15
QQ15,0.2,0.05
QQ16,0.2,0.2
QQ17,0.2,0.05
QQ18,0.6,0.25
QQ19,0.4,0.15
QQ20,0.2,0.05
QQ21,0.2,0.05
QQ22,0.4,0.1
QQ23,0.2,0.05
QQ24,0.4,0.1
QQ25,0.2,0.15
QQ26,0.4,0.1
QQ27,0.2,0.05
QQ28,0.4,0.1
QQ29,0.2,0.1
QQ30,0.4,0.1
QQ31,0.2,0.05
QQ32,0.2,0.05
QQ35,0.2,0.1
QQ36,0.4,0.1
QQ37,0.2,0.05
QQ38,0.8,0.25
QQ39,0.2,0.1
QQ41,0.2,0.05
QQ42,0.2,0.1
QQ43,0.2,0.05
QQ44,0.2,0.1
QQ47,0.2,0.1
QQ48,0.2,0.05
QQ56,0.2,0.05
QQ57,0.2,0.05
QQ58,0.2,0.05
QQ59,0.2,0.05
QQ60,0.8,0.3
QQ61,0.4,0.15
QQ62,0.4,0.25
QQ63,0.2,0.05
