QID,P@5,P@20

QQ38,0.4,0.15
QQ10,0.8,0.45
QQ11,0.6,0.15
QQ39,0.4,0.25
QQ13,0.2,0.15
QQ12,0.8,0.25
QQ16,0.4,0.25
QQ9,1.0,0.6
QQ8,0.4,0.2
QQ17,0.4,0.2
QQ15,0.4,0.15
QQ29,0.4,0.1
QQ28,0.4,0.4
QQ14,0.4,0.15
QQ58,0.6,0.35
QQ59,0.6,0.25
QQ61,0.2,0.1
QQ48,0.4,0.2
QQ60,1.2,0.55
QQ62,1.0,0.45
QQ63,0.4,0.1
QQ47,0.4,0.1
QQ44,0.8,0.35
QQ41,0.2,0.25
QQ43,0.6,0.15
QQ57,0.8,0.35
QQ56,0.4,0.1
QQ42,0.4,0.35
QQ19,0.8,0.2
QQ25,0.2,0.35
QQ31,0.4,0.15
QQ6,0.8,0.4
QQ7,0.6,0.15
QQ30,0.4,0.1
QQ24,0.6,0.4
QQ18,0.8,0.3
QQ32,0.2,0.05
QQ26,0.8,0.4
QQ5,0.4,0.15
QQ4,0.6,0.15
QQ27,1.0,0.25
QQ37,0.6,0.25
QQ23,0.4,0.1
QQ0,0.4,0.15
QQ1,0.8,0.2
QQ22,0.8,0.2
QQ36,0.2,0.15
QQ20,0.6,0.2
QQ3,0.6,0.15
QQ2,0.2,0.05
QQ35,0.6,0.45
QQ21,1.0,0.7
