QueryID,DocID,Score
Q0,CACM-2319,-81.14490855653442
Q0,CACM-1410,-83.26291383424991
Q0,CACM-1519,-86.1957399795808
Q0,CACM-1605,-87.17756421429469
Q0,CACM-1506,-87.61550972610627
Q0,CACM-3025,-87.70715216907527
Q0,CACM-2379,-87.70758738685626
Q0,CACM-1168,-88.17099284718354
Q0,CACM-1523,-88.17584612552803
Q0,CACM-2380,-88.24184397579397
Q0,CACM-1749,-88.2970276444541
Q0,CACM-2629,-88.52527934174479
Q0,CACM-2317,-88.85936767394838
Q0,CACM-1161,-88.87393341540019
Q0,CACM-3048,-89.1335080357653
Q0,CACM-1591,-89.15087546553632
Q0,CACM-0585,-89.37448864423395
Q0,CACM-1544,-89.42828290496914
Q0,CACM-1680,-89.46080821871486
Q0,CACM-2947,-89.51989997048648
Q0,CACM-2632,-89.62465290390557
Q0,CACM-1938,-89.70278845338684
Q0,CACM-0971,-89.90738425499552
Q0,CACM-1315,-89.94569300081592
Q0,CACM-1033,-89.98348765553413
Q0,CACM-2054,-89.98670612503668
Q0,CACM-1462,-90.00093801184167
Q0,CACM-1046,-90.09718715708914
Q0,CACM-1685,-90.10480773113775
Q0,CACM-2740,-90.15921183385281
Q0,CACM-1844,-90.3307434019901
Q0,CACM-2358,-90.33083820773477
Q0,CACM-2371,-90.37758674568117
Q0,CACM-3069,-90.41454122241618
Q0,CACM-1647,-90.50466036580869
Q0,CACM-1753,-90.69929526432462
Q0,CACM-3127,-90.75051896975462
Q0,CACM-1805,-90.80873947140817
Q0,CACM-1750,-90.81147235427561
Q0,CACM-2621,-90.82342668836809
Q0,CACM-2357,-90.85397226010726
Q0,CACM-1179,-90.95861849754036
Q0,CACM-2624,-90.98134634651258
Q0,CACM-2951,-91.0451969708445
Q0,CACM-1236,-91.10746346834385
Q0,CACM-0098,-91.20460566547517
Q0,CACM-1408,-91.23111751551824
Q0,CACM-1464,-91.2519490874571
Q0,CACM-1572,-91.34952757170164
Q0,CACM-1264,-91.49355853556868
Q0,CACM-1697,-91.50705204133867
Q0,CACM-2796,-91.51637144110818
Q0,CACM-0414,-91.55617321045064
Q0,CACM-0397,-91.61680371572861
Q0,CACM-1755,-91.77798822620403
Q0,CACM-1225,-91.8064169056026
Q0,CACM-1698,-91.82616390118947
Q0,CACM-2946,-91.88295969633836
Q0,CACM-0698,-91.88946988397845
Q0,CACM-1747,-91.98296574065199
Q0,CACM-2151,-92.01049119762321
Q0,CACM-2950,-92.03820953173273
Q0,CACM-2917,-92.0515068486047
Q0,CACM-1657,-92.08430585782959
Q0,CACM-1304,-92.12634119767797
Q0,CACM-2424,-92.21352101274536
Q0,CACM-2372,-92.27414250084092
Q0,CACM-1526,-92.28985791172904
Q0,CACM-1960,-92.31684461496612
Q0,CACM-1341,-92.42933971027313
Q0,CACM-0252,-92.45179048851021
Q0,CACM-0637,-92.46152935485033
Q0,CACM-1195,-92.47886073654637
Q0,CACM-0103,-92.50621772318678
Q0,CACM-2948,-92.65059350411234
Q0,CACM-2219,-92.77356733975533
Q0,CACM-1069,-92.78092752547055
Q0,CACM-0271,-92.82689991172293
Q0,CACM-2535,-92.83089607555056
Q0,CACM-1163,-92.87553115597711
Q0,CACM-2597,-92.88940216122626
Q0,CACM-1827,-92.99947818031909
Q0,CACM-1472,-93.04992254111663
Q0,CACM-2868,-93.10918406014699
Q0,CACM-1885,-93.18473096343986
Q0,CACM-2920,-93.21284457571504
Q0,CACM-3068,-93.24317580356353
Q0,CACM-2681,-93.24534987750373
Q0,CACM-2313,-93.26170525898974
Q0,CACM-3137,-93.34059696952009
Q0,CACM-1854,-93.45804174486149
Q0,CACM-1515,-93.54498554408801
Q0,CACM-2542,-93.59350675408668
Q0,CACM-2080,-93.59797022190158
Q0,CACM-1542,-93.60166607671633
Q0,CACM-1752,-93.60780790403028
Q0,CACM-0615,-93.64259481596616
Q0,CACM-1642,-93.65264557906646
Q0,CACM-3174,-93.68760392534232
Q0,CACM-2541,-93.69903085712959
Q1,CACM-3078,-69.13137517914265
Q1,CACM-2434,-69.51599091589405
Q1,CACM-2863,-70.04049995211176
Q1,CACM-1046,-77.92983944250156
Q1,CACM-0397,-78.16487132762943
Q1,CACM-1867,-79.0171113641939
Q1,CACM-1014,-79.07642519465841
Q1,CACM-0492,-79.12329086191433
Q1,CACM-0435,-79.23572664227284
Q1,CACM-1397,-79.28362631947174
Q1,CACM-1623,-79.46807411463146
Q1,CACM-0597,-79.77720771380955
Q1,CACM-0531,-79.80986994380451
Q1,CACM-0616,-79.95083221826337
Q1,CACM-0847,-80.18076063678454
Q1,CACM-1305,-80.4910361327874
Q1,CACM-1345,-80.68777282480427
Q1,CACM-1168,-80.68777282480427
Q1,CACM-1214,-80.76397292076581
Q1,CACM-1498,-80.78213191358057
Q1,CACM-3202,-80.79996030937839
Q1,CACM-1424,-80.79996030937839
Q1,CACM-1625,-80.91641358810742
Q1,CACM-1183,-80.93197212406523
Q1,CACM-3189,-80.97721241316191
Q1,CACM-1215,-80.99183782195543
Q1,CACM-0971,-81.1883298785417
Q1,CACM-1315,-81.21753295598208
Q1,CACM-1439,-81.24588092714278
Q1,CACM-0728,-81.26797596975152
Q1,CACM-1391,-81.32109928194197
Q1,CACM-1926,-81.3415560545417
Q1,CACM-3201,-81.3812113911032
Q1,CACM-1117,-81.3812113911032
Q1,CACM-1861,-81.3812113911032
Q1,CACM-3204,-81.40044297480381
Q1,CACM-2439,-81.40044297480381
Q1,CACM-2645,-81.42395402954264
Q1,CACM-2356,-81.42858801535395
Q1,CACM-1523,-81.45593205725724
Q1,CACM-1486,-81.45593205725724
Q1,CACM-1591,-81.4825186188677
Q1,CACM-1403,-81.49121949457277
Q1,CACM-1464,-81.51685786396301
Q1,CACM-0942,-81.51685786396301
Q1,CACM-1549,-81.52525367731975
Q1,CACM-1334,-81.52525367731975
Q1,CACM-2519,-81.53357647196418
Q1,CACM-3127,-81.55000790611408
Q1,CACM-1705,-81.5701577864979
Q1,CACM-2912,-81.58204678375493
Q1,CACM-3199,-81.58204678375493
Q1,CACM-1564,-81.597671863874
Q1,CACM-2937,-81.597671863874
Q1,CACM-1427,-81.60538946556208
Q1,CACM-1348,-81.62063973335044
Q1,CACM-1161,-81.67217064593454
Q1,CACM-1503,-81.67217064593454
Q1,CACM-1542,-81.70040948654517
Q1,CACM-0282,-81.70733986780093
Q1,CACM-2943,-81.71421998350573
Q1,CACM-2456,-81.72105053962783
Q1,CACM-1468,-81.727832227376
Q1,CACM-1676,-81.76753306609866
Q1,CACM-2383,-81.78040485340678
Q1,CACM-3005,-81.83020578303652
Q1,CACM-2471,-81.83624994369177
Q1,CACM-1469,-81.84225555957873
Q1,CACM-3080,-81.84225555957873
Q1,CACM-2850,-81.84225555957873
Q1,CACM-1854,-81.90029206509935
Q1,CACM-1264,-81.91702574653026
Q1,CACM-2939,-81.92801780085192
Q1,CACM-2317,-81.92801780085192
Q1,CACM-1145,-81.93346581820454
Q1,CACM-2096,-82.02152849067085
Q1,CACM-1671,-82.02152849067085
Q1,CACM-2812,-82.05072326792795
Q1,CACM-2092,-82.05550108174893
Q1,CACM-1939,-82.05550108174893
Q1,CACM-1680,-82.07436999302236
Q1,CACM-3160,-82.11099235785248
Q1,CACM-0321,-82.15052855285309
Q1,CACM-1811,-82.19665327696637
Q1,CACM-1741,-82.2288000073878
Q1,CACM-2483,-82.27123420574112
Q1,CACM-2217,-82.31896186787934
Q1,CACM-2002,-82.49101517627726
Q1,CACM-3077,-82.65009351274647
Q1,CACM-2233,-82.77613325605054
Q1,CACM-2095,-85.34261293039667
Q1,CACM-0682,-85.34261293039667
Q1,CACM-0696,-85.34261293039667
Q1,CACM-1588,-85.34261293039667
Q1,CACM-2081,-85.34261293039667
Q1,CACM-2917,-85.34261293039667
Q1,CACM-0866,-85.34261293039667
Q1,CACM-0872,-85.34261293039667
Q1,CACM-2903,-85.34261293039667
Q1,CACM-2730,-85.34261293039667
Q2,CACM-2061,-26.464653487268606
Q2,CACM-2921,-27.009287889322806
Q2,CACM-0799,-27.714066945317605
Q2,CACM-2411,-28.251488362832454
Q2,CACM-1496,-28.546573178952404
Q2,CACM-0205,-28.629276533096093
Q2,CACM-1223,-29.22971506256603
Q2,CACM-2112,-29.261765131323195
Q2,CACM-3102,-29.383374358388206
Q2,CACM-2939,-29.48420413957059
Q2,CACM-1350,-29.63073843348129
Q2,CACM-2886,-29.660954445030967
Q2,CACM-2579,-29.738646828841613
