QueryID,DocID,Score
Q0,CACM-3127,-11.40707836649407
Q0,CACM-2246,-14.989077855174365
Q0,CACM-3196,-15.168104635910577
Q0,CACM-1461,-17.047550249686648
Q0,CACM-1930,-17.14008315764406
Q0,CACM-2593,-17.314520417005816
Q0,CACM-3068,-17.555978359740408
Q0,CACM-2796,-17.68809791459268
Q0,CACM-2319,-17.824631535186196
Q0,CACM-1755,-17.859389584162205
Q0,CACM-2379,-17.889999045319392
Q0,CACM-2740,-17.9100780338895
Q0,CACM-2629,-17.932748312177736
Q0,CACM-1680,-18.057609409818944
Q0,CACM-1591,-18.13463753137457
Q0,CACM-1462,-18.154771012490883
Q0,CACM-2735,-18.21044140288501
Q0,CACM-2597,-18.329521414145574
Q0,CACM-2632,-18.378489244128147
Q0,CACM-1033,-18.436114321582686
Q0,CACM-2482,-18.54760062801498
Q0,CACM-1657,-18.55799838381484
Q0,CACM-1236,-18.58000977164011
Q0,CACM-2424,-18.666057270170754
Q0,CACM-1750,-18.668475939960352
Q0,CACM-1168,-18.67753797525411
Q0,CACM-2357,-18.68766020859607
Q0,CACM-1472,-18.68790198938807
Q0,CACM-2541,-18.713624802337698
Q0,CACM-2080,-18.71674254620892
Q0,CACM-2111,-18.71674254620892
Q0,CACM-2317,-18.72147565962257
Q0,CACM-1912,-18.724621625740447
Q0,CACM-1938,-18.741031047510045
Q0,CACM-3025,-18.760423724988538
Q0,CACM-2840,-18.763542337463925
Q0,CACM-3089,-18.767659702191605
Q0,CACM-2126,-18.784408286082385
Q0,CACM-2867,-18.800637561753767
Q0,CACM-1247,-18.800637561753767
Q0,CACM-2868,-18.81690318276116
Q0,CACM-1519,-18.847489229410044
Q0,CACM-2153,-18.861083355625535
Q0,CACM-2920,-18.883818418210545
Q0,CACM-2798,-18.88852988310122
Q0,CACM-1749,-18.918417666935486
Q0,CACM-2069,-18.922779712663875
Q0,CACM-1071,-18.93109022510843
Q0,CACM-3174,-18.953279889088957
Q0,CACM-1534,-18.960701264839617
Q0,CACM-2372,-18.960957270217218
Q0,CACM-1728,-18.968473808846028
Q0,CACM-1334,-19.003685575697126
Q0,CACM-2378,-19.012817626893302
Q0,CACM-1752,-19.065136653503956
Q0,CACM-2399,-19.075383352709178
Q0,CACM-3137,-19.090056872401895
Q0,CACM-2151,-19.125223662674383
Q0,CACM-0322,-19.126559610198232
Q0,CACM-1324,-19.126559610198232
Q0,CACM-2064,-19.128082683301724
Q0,CACM-1533,-19.14199435671711
Q0,CACM-1163,-19.154415232856774
Q0,CACM-1747,-19.17874174152858
Q0,CACM-0252,-19.191584111293512
Q0,CACM-1264,-19.192131661610276
Q0,CACM-0202,-19.200336743840854
Q0,CACM-1923,-19.208736115943672
Q0,CACM-2092,-19.21761541737615
Q0,CACM-1034,-19.21932965923423
Q0,CACM-0972,-19.227743464001552
Q0,CACM-0585,-19.24680120367608
Q0,CACM-1226,-19.262848234643293
Q0,CACM-1766,-19.27790348235161
Q0,CACM-2681,-19.295303700027482
Q0,CACM-3023,-19.295303700027482
Q0,CACM-2624,-19.297065611304337
Q0,CACM-2741,-19.297065611304337
Q0,CACM-1853,-19.298882002661976
Q0,CACM-2320,-19.309297366566646
Q0,CACM-2105,-19.311584541839736
Q0,CACM-2218,-19.31219323411283
Q0,CACM-3087,-19.32547068765223
Q0,CACM-1902,-19.32708195704899
Q0,CACM-2618,-19.343984174230123
Q0,CACM-1960,-19.38092184539815
Q0,CACM-1108,-19.42847304976473
Q0,CACM-2621,-19.4380192402994
Q0,CACM-3090,-19.449009250291002
Q0,CACM-2479,-19.485204352025708
Q0,CACM-1951,-19.4897808328796
Q0,CACM-2522,-19.508877191690324
Q0,CACM-1195,-19.52766786993156
Q0,CACM-2536,-19.533604079082508
Q0,CACM-1464,-19.533604079082508
Q0,CACM-2777,-19.541353188010554
Q0,CACM-2950,-19.54308525177685
Q0,CACM-1924,-19.544794749617996
Q0,CACM-1087,-19.56304602821571
Q0,CACM-2542,-19.567070322220715
Q1,CACM-2530,-23.09347390344064
Q1,CACM-2748,-23.393488689034626
Q1,CACM-2491,-25.142816004348372
Q1,CACM-2559,-25.423182895352742
Q1,CACM-1795,-25.979492777756327
Q1,CACM-1947,-26.19517011449114
Q1,CACM-2856,-26.219768470295946
Q1,CACM-2495,-26.444991480543514
Q1,CACM-3005,-26.755023517796044
Q1,CACM-2716,-26.80321509801624
Q1,CACM-2033,-26.91872412175954
Q1,CACM-2897,-27.040909691939138
Q1,CACM-2701,-27.043134621079
Q1,CACM-3106,-27.095917133445806
Q1,CACM-2586,-27.248939879631138
Q1,CACM-3103,-27.393313781971976
Q1,CACM-1886,-27.433846864638717
Q1,CACM-2680,-27.73820093042673
Q1,CACM-3129,-27.987000698278695
Q1,CACM-2598,-28.005361425650953
Q1,CACM-0405,-28.05700322372496
Q1,CACM-2863,-28.09991999295052
Q1,CACM-1807,-28.232401677926305
Q1,CACM-1542,-28.255874305864822
Q1,CACM-2801,-28.32655475095077
Q1,CACM-3171,-28.327726852710263
Q1,CACM-2537,-28.452409604142808
Q1,CACM-1223,-28.473004997135373
Q1,CACM-2490,-28.48392909333888
Q1,CACM-3113,-28.496757236920608
Q1,CACM-2885,-28.544163174168652
Q1,CACM-3099,-28.577516552676258
Q1,CACM-1195,-28.622272683595657
Q1,CACM-0124,-28.67384853019781
Q1,CACM-2944,-28.704420337526237
Q1,CACM-2819,-28.718781972361512
Q1,CACM-2648,-28.733139261770553
Q1,CACM-1694,-28.822863399030485
Q1,CACM-2855,-28.838063302466278
Q1,CACM-2722,-28.978616470828012
Q1,CACM-3080,-29.03324098256045
Q1,CACM-2623,-29.052186391380054
Q1,CACM-2929,-29.170073724635067
Q1,CACM-1901,-29.235468323877253
Q1,CACM-1552,-29.25525126504659
Q1,CACM-2904,-29.28410899071507
Q1,CACM-3053,-29.33067853441724
Q1,CACM-2834,-29.3838529103679
Q1,CACM-2276,-29.40724704598418
Q1,CACM-2253,-29.418321269661142
Q1,CACM-3072,-29.429292058720876
Q1,CACM-3033,-29.456471763122916
Q1,CACM-2816,-29.48497744714211
Q1,CACM-2858,-29.565457767476147
Q1,CACM-2081,-29.593743582116826
Q1,CACM-3110,-29.601846676719855
Q1,CACM-1172,-29.611734784027952
Q1,CACM-3067,-29.684287801426006
Q1,CACM-2374,-29.753788121415127
Q1,CACM-1066,-29.785194657641274
Q1,CACM-1973,-29.816611952699137
Q1,CACM-2314,-29.886679509022336
Q1,CACM-2185,-29.895393617680984
Q1,CACM-1235,-29.906784882853184
Q1,CACM-2787,-29.926374359665882
Q1,CACM-1564,-29.993033271079742
Q1,CACM-2464,-30.010680501556116
Q1,CACM-0867,-30.013675001856647
Q1,CACM-2857,-30.02414624078201
Q1,CACM-1651,-30.032247897440254
Q1,CACM-0940,-30.0457322904766
Q1,CACM-1389,-30.04751302703239
Q1,CACM-0849,-30.068034439225293
Q1,CACM-3074,-30.069405835371565
Q1,CACM-2734,-30.09055904937967
Q1,CACM-0797,-30.091637169213072
Q1,CACM-2423,-30.14639189158303
Q1,CACM-0066,-30.148174490558528
Q1,CACM-2220,-30.171854848641836
Q1,CACM-3057,-30.20784533632465
Q1,CACM-1134,-30.247653737307807
Q1,CACM-2833,-30.2630605533388
Q1,CACM-1289,-30.312589797855367
Q1,CACM-0267,-30.32655415741761
Q1,CACM-2111,-30.329102009146133
Q1,CACM-1088,-30.338392981236282
Q1,CACM-3054,-30.340538975531082
Q1,CACM-3001,-30.365752186982174
Q1,CACM-1999,-30.372310460235127
Q1,CACM-2543,-30.37340084275354
Q1,CACM-2611,-30.384285315485556
Q1,CACM-2651,-30.40378067658545
Q1,CACM-2138,-30.410117406741026
Q1,CACM-1414,-30.413480788550892
Q1,CACM-1064,-30.413480788550892
Q1,CACM-0230,-30.413480788550892
Q1,CACM-3027,-30.428092002371606
Q1,CACM-1738,-30.481185304750877
Q1,CACM-3114,-30.507849617894337
Q1,CACM-2078,-30.598041150205034
Q2,CACM-2714,-7.20220322035194
Q2,CACM-2973,-7.396974120925103
Q2,CACM-2266,-7.502503673267584
Q2,CACM-3075,-7.759663468944089
Q2,CACM-3156,-7.992772065941832
Q2,CACM-0950,-8.13075686173119
Q2,CACM-2433,-8.317397335866346
