QueryID,DocID,Score
Q0,CACM-2319,**operating** **system** performance **an** overview of the current and future positions **with** respect to **operating** **system** performance is given.
Q0,CACM-2379,the design of the venus **operating** **system** the venus **operating** **system** is **an** experimental multiprogramming **system** **which** supports five or six concurrent users on a small computer.
Q0,CACM-1519,george 3-a general purpose **time** **sharing** and **operating** **system** **an** **operating** **system** is described **which** will run on a wide variety of configurations of the i.
Q0,CACM-1410,interarrival statistics **for** **time** **sharing** systems the optimization of time-shared **system** performance requires the description of the stochastic processes governing the user inputs and the program activity.
Q0,CACM-1605,**an** experimental comparison of **time** **sharing** and batch processing the effectiveness **for** program develop
Q0,CACM-1523,"sharer, a **time** **sharing** **system** **for** the cdc 6600 a **time** **sharing** **system** embedded within the standard batch processing **system** **for** the cdc 6600 is described."
Q0,CACM-2380,"tenex, a paged **time** **sharing** **system** **for** the pdp-10 tenex is a new **time** **sharing** **system** implemented on dec pdp-10 augmented by special paging hardware developed at bbn."
Q0,CACM-1591,a model **for** a multifunctional teaching **system** a teaching **system** model that was incorporated into **an** **operating** **system** of a large computer is described.
Q0,CACM-1033,experimental personalized array translator **system** a **system** designed **for** intimate man-machine interaction in a general-purpose problem-solving environment is experimentally operational.
Q0,CACM-1698,a statistical model **for** console behavior in multiuser **computers** the ability of a computer **system** to communicate **with** the outside world efficiently is as important as its ability to perform computations efficiently.
Q0,CACM-1749,"the structure of the ""the""-multiprogramming **system** a multiprogramming **system** is described in **which** all activities are divided over a number of sequential processes."
Q0,CACM-1506,the monitor was designed so that it could work **with** a small computer (an **ibm** **system** 360/30).
Q0,CACM-1938,"some criteria **for** time-sharing **system** performance time-sharing systems, as defined in this article, are those multiaccess systems **which** permit a terminal user to utilize essentially the full resources of the **system** while **sharing** its **time** **with** other terminal users."
Q0,CACM-2632,"hydra: the kernel of a multiprocessor **operating** **system** this paper describes the design philosophy of hydra-the kernel of **an** **operating** **system** **for** c.mmp, the carnegie-mellon multi-mini-processor."
Q0,CACM-2629,"the unix time-sharing **system** unix is a general-purpose, multi-user, interactive **operating** **system** **for** the digital equip"
Q0,CACM-3127,"thoth, a portable real-time **operating** **system** thoth isa real-time **operating** **system** **which** is designed to be portable over a large set of machines."
Q0,CACM-1544,"audio output is provided directly to the telephone terminals, but the **system** will normally be used in conjunction **with** remotely located high speed printing devices."
Q0,CACM-1680,a general-purpose display processing and tutorial **system** adept (a display-expedited processing and tutorial) **system** is described.
Q0,CACM-1161,"as this era unfolded, rapid changes in technology led to rapid obsolescence of data processing equip"
Q0,CACM-2371,a **system** **for** interprocess communication in a resource **sharing** computer network a **system** of communication between processes in a time-sharing **system** is described and the communication **system** is extended so that it may be used between processes distributed throughout a computer network.
Q0,CACM-2740,a large semaphore based **operating** **system** the paper describes the internal structure of a large **operating** **system** as a set of cooperating sequential processes.
Q0,CACM-2541,"**an** overview of the ispl computer **system** design this paper explores the advantages of the concurrent design of the language, **operating** system, and machine (via microcode) to create **an** interactive programming laboratory."
Q0,CACM-3048,performance evaluation of highly concurrent **computers** by deterministic simulation simulation is presented as a practical technique **for** performance evaluation of alternative configurations of highly concurrent computers.
Q0,CACM-3025,"the evolution of the dec **system** 10 the dec **system** 10, also known as the pdp-10, evolved from the pdp-6 (circa 1963) over five generations of implementations to presently include systems covering a price range of five to one."
Q0,CACM-2357,"mux, a simple approach to on-line computing **an** on-line **system** **operating** as part of a normal batch **system** **for** the cdc 6600 computer is described."
Q0,CACM-1464,**an** algol compiler: construction and use in relation to **an** elaborate **operating** **system** **an** algol translator has been prepared and integrated into the ibsys **operating** system.
Q0,CACM-1647,"watfor-the university of waterloo fortran iv compiler watfor is **an** in-core, load-and-go compiler **which** has been implemented within the **ibm** 7040/44 **operating** system."
Q0,CACM-1264,blnsys-a 1401 **operating** **system** **with** braille capabilities blnsys is **an** **operating** **system** designed **for** a 4k 1401 **with** common optional features and two attached tape drives.
Q0,CACM-0585,this simultaneity has evolved from **an** initial achievement of self-searching input and output to the automatic **time** **sharing** of independently coded problems.
Q0,CACM-1168,"across machine lines in cobol the production of a large, file-maintenance-and-retrieval program **system** written in cobol is described."
Q0,CACM-1750,considerations in the design of a multiple computer **system** **with** extended core storage the use of large quantities of addressable (but not executable) fast random access memory to heighten the multiprogramming performance of a multicomputer **system** is discussed.
Q0,CACM-2947,"sitar: **an** interactive text processing **system** **for** small **computers** sitar, a low-cost in teractive text handling and text analysis **system** **for** nontechnical users, is in many ways comparable to in teractive bibliographical search and retrieval systems, but has several additional features."
